key_value,dremio_count
000940680107,1
000945773262,1
000970710902,1
014000012903,1
014000012929,1
014000012975,1
014000013036,1
014000013115,3
014000013117,1
014000013131,1
014000013167,1
014000013200,2
031000030712,1
031000030726,1
031000034859,1
032000045114,1
032000058634,1
216000374563,3
216000374649,2
216000375319,2
216000375609,2
216000376367,2
216000376400,3
216000376435,2
224000248008,2
233000016203,2
233000016314,2
234000011919,2
239000010315,1
239000010344,3
246000299420,3
246000299423,3
260000018546,2
260000018686,2
284000273167,2
