schema,ulysses1,schema.1,SAP EIM
sapisu,raw_t_rise_adcp,SAP_RISE_1,T_RISE_ADCP
sapisu,raw_t_rise_adr2,SAP_RISE_1,T_RISE_ADR2
sapisu,raw_t_rise_adr6,SAP_RISE_1,T_RISE_ADR6
sapisu,raw_t_rise_adrc,SAP_RISE_1,T_RISE_ADRC
sapisu,raw_t_rise_adrp,SAP_RISE_1,T_RISE_ADRP
sapisu,raw_t_rise_aufk,SAP_RISE_1,T_RISE_AUFK
sapisu,raw_t_rise_but000,SAP_RISE_1,T_RISE_BUT000
sapisu,raw_t_rise_but020,SAP_RISE_1,T_RISE_BUT020
sapisu,raw_t_rise_but021_fs,SAP_RISE_1,T_RISE_BUT021_FS
sapisu,raw_t_rise_but0bk,SAP_RISE_1,T_RISE_BUT0BK
sapisu,raw_t_rise_but0is,SAP_RISE_1,T_RISE_BUT0IS
sapisu,raw_t_rise_crhd,SAP_RISE_1,T_RISE_CRHD
sapisu,raw_t_rise_crtx,SAP_RISE_1,T_RISE_CRTX
sapisu,raw_t_rise_dberchu,SAP_RISE_1,T_RISE_DBERCHU
sapisu,raw_t_rise_dberchz1,SAP_RISE_1,T_RISE_DBERCHZ1
sapisu,raw_t_rise_dberchz2,SAP_RISE_1,T_RISE_DBERCHZ2
sapisu,raw_t_rise_dberchz3,SAP_RISE_1,T_RISE_DBERCHZ3
sapisu,raw_t_rise_dberchz4,SAP_RISE_1,T_RISE_DBERCHZ4
sapisu,raw_t_rise_dberdl,SAP_RISE_1,T_RISE_DBERDL
sapisu,raw_t_rise_dberdlb,SAP_RISE_1,T_RISE_DBERDLB
sapisu,raw_t_rise_dfkkbptaxnum,SAP_RISE_1,T_RISE_DFKKBPTAXNUM
sapisu,raw_t_rise_dfkkextdoc2,SAP_RISE_1,T_RISE_DFKKEXTDOC2
sapisu,raw_t_rise_dfkkko,SAP_RISE_1,T_RISE_DFKKKO
sapisu,raw_t_rise_dfkklocks,SAP_RISE_1,T_RISE_DFKKLOCKS
sapisu,raw_t_rise_dfkkop,SAP_RISE_1,T_RISE_DFKKOP
sapisu,raw_t_rise_dfkkpoh,SAP_RISE_1,T_RISE_DFKKPOH
sapisu,raw_t_rise_dfkkrk,SAP_RISE_1,T_RISE_DFKKRK
sapisu,raw_t_rise_dfkkrp,SAP_RISE_1,T_RISE_DFKKRP
sapisu,raw_t_rise_dfkkzk,SAP_RISE_1,T_RISE_DFKKZK
sapisu,raw_t_rise_dfkkzp,SAP_RISE_1,T_RISE_DFKKZP
sapisu,raw_t_rise_dfkkzr,SAP_RISE_1,T_RISE_DFKKZR
sapisu,raw_t_rise_dpayh,SAP_RISE_1,T_RISE_DPAYH
sapisu,raw_t_rise_dpayp,SAP_RISE_1,T_RISE_DPAYP
sapisu,raw_t_rise_eabl,SAP_RISE_1,T_RISE_EABL
sapisu,raw_t_rise_eablg,SAP_RISE_1,T_RISE_EABLG
sapisu,raw_t_rise_eabp,SAP_RISE_1,T_RISE_EABP
sapisu,raw_t_rise_eanl,SAP_RISE_1,T_RISE_EANL
sapisu,raw_t_rise_eanlh,SAP_RISE_1,T_RISE_EANLH
sapisu,raw_t_rise_eastl,SAP_RISE_1,T_RISE_EASTL
sapisu,raw_t_rise_easts,SAP_RISE_1,T_RISE_EASTS
sapisu,raw_t_rise_edid4,SAP_RISE_1,T_RISE_EDID4
sapisu,raw_t_rise_ediscact,SAP_RISE_1,T_RISE_EDISCACT
sapisu,raw_t_rise_ediscdoc,SAP_RISE_1,T_RISE_EDISCDOC
sapisu,raw_t_rise_ediscobj,SAP_RISE_1,T_RISE_EDISCOBJ
sapisu,raw_t_rise_egerh,SAP_RISE_1,T_RISE_EGERH
sapisu,raw_t_rise_egridh,SAP_RISE_1,T_RISE_EGRIDH
sapisu,raw_t_rise_ehauisu,SAP_RISE_1,T_RISE_EHAUISU
sapisu,raw_t_rise_eideswtdoc,SAP_RISE_1,T_RISE_EIDESWTDOC
sapisu,raw_t_rise_eideswtdocstep,SAP_RISE_1,T_RISE_EIDESWTDOCSTEP
sapisu,raw_t_rise_ekon,SAP_RISE_1,T_RISE_EKON
sapisu,raw_t_rise_ekun,SAP_RISE_1,T_RISE_EKUN
sapisu,raw_t_rise_emma_bpc,SAP_RISE_1,T_RISE_EMMA_BPC
sapisu,raw_t_rise_emma_bpct,SAP_RISE_1,T_RISE_EMMA_BPCT
sapisu,raw_t_rise_emma_case,SAP_RISE_1,T_RISE_EMMA_CASE
