schema,Ulysses,schema.1,SAP EIM
sapisu,rfn_adcp,SAP_RISE_1,T_RISE_ADCP
sapisu,rfn_adr2,SAP_RISE_1,T_RISE_ADR2
sapisu,rfn_adr6,SAP_RISE_1,T_RISE_ADR6
sapisu,rfn_adrc,SAP_RISE_1,T_RISE_ADRC
sapisu,rfn_adrp,SAP_RISE_1,T_RISE_ADRP
sapisu,rfn_aufk,SAP_RISE_1,T_RISE_AUFK
sapisu,rfn_but000,SAP_RISE_1,T_RISE_BUT000
sapisu,rfn_but020,SAP_RISE_1,T_RISE_BUT020
sapisu,rfn_but021_fs,SAP_RISE_1,T_RISE_BUT021_FS
sapisu,rfn_but0bk,SAP_RISE_1,T_RISE_BUT0BK
sapisu,rfn_but0is,SAP_RISE_1,T_RISE_BUT0IS
sapisu,rfn_crhd,SAP_RISE_1,T_RISE_CRHD
sapisu,rfn_crtx,SAP_RISE_1,T_RISE_CRTX
sapisu,rfn_dberchu,SAP_RISE_1,T_RISE_DBERCHU
sapisu,rfn_dberchz1,SAP_RISE_1,T_RISE_DBERCHZ1
sapisu,rfn_dberchz2,SAP_RISE_1,T_RISE_DBERCHZ2
sapisu,rfn_dberchz3,SAP_RISE_1,T_RISE_DBERCHZ3
sapisu,rfn_dberchz4,SAP_RISE_1,T_RISE_DBERCHZ4
sapisu,rfn_dberdl,SAP_RISE_1,T_RISE_DBERDL
sapisu,rfn_dberdlb,SAP_RISE_1,T_RISE_DBERDLB
sapisu,rfn_dfkkbptaxnum,SAP_RISE_1,T_RISE_DFKKBPTAXNUM
sapisu,rfn_dfkkextdoc2,SAP_RISE_1,T_RISE_DFKKEXTDOC2
sapisu,rfn_dfkkko,SAP_RISE_1,T_RISE_DFKKKO
sapisu,rfn_dfkklocks,SAP_RISE_1,T_RISE_DFKKLOCKS
sapisu,rfn_dfkkop,SAP_RISE_1,T_RISE_DFKKOP
sapisu,rfn_dfkkpoh,SAP_RISE_1,T_RISE_DFKKPOH
sapisu,rfn_dfkkrk,SAP_RISE_1,T_RISE_DFKKRK
sapisu,rfn_dfkkrp,SAP_RISE_1,T_RISE_DFKKRP
sapisu,rfn_dfkkzk,SAP_RISE_1,T_RISE_DFKKZK
sapisu,rfn_dfkkzp,SAP_RISE_1,T_RISE_DFKKZP
sapisu,rfn_dfkkzr,SAP_RISE_1,T_RISE_DFKKZR
sapisu,rfn_dpayh,SAP_RISE_1,T_RISE_DPAYH
sapisu,rfn_dpayp,SAP_RISE_1,T_RISE_DPAYP
sapisu,rfn_eabl,SAP_RISE_1,T_RISE_EABL
sapisu,rfn_eablg,SAP_RISE_1,T_RISE_EABLG
sapisu,rfn_eabp,SAP_RISE_1,T_RISE_EABP
sapisu,rfn_eanl,SAP_RISE_1,T_RISE_EANL
sapisu,rfn_eanlh,SAP_RISE_1,T_RISE_EANLH
sapisu,rfn_eastl,SAP_RISE_1,T_RISE_EASTL
sapisu,rfn_easts,SAP_RISE_1,T_RISE_EASTS
sapisu,rfn_edid4,SAP_RISE_1,T_RISE_EDID4
sapisu,rfn_ediscact,SAP_RISE_1,T_RISE_EDISCACT
sapisu,rfn_ediscdoc,SAP_RISE_1,T_RISE_EDISCDOC
sapisu,rfn_ediscobj,SAP_RISE_1,T_RISE_EDISCOBJ
sapisu,rfn_egerh,SAP_RISE_1,T_RISE_EGERH
sapisu,rfn_egridh,SAP_RISE_1,T_RISE_EGRIDH
sapisu,rfn_ehauisu,SAP_RISE_1,T_RISE_EHAUISU
sapisu,rfn_eideswtdoc,SAP_RISE_1,T_RISE_EIDESWTDOC
sapisu,rfn_eideswtdocstep,SAP_RISE_1,T_RISE_EIDESWTDOCSTEP
sapisu,rfn_ekon,SAP_RISE_1,T_RISE_EKON
sapisu,rfn_ekun,SAP_RISE_1,T_RISE_EKUN
sapisu,rfn_emma_bpc,SAP_RISE_1,T_RISE_EMMA_BPC
sapisu,rfn_emma_bpct,SAP_RISE_1,T_RISE_EMMA_BPCT
sapisu,rfn_emma_case,SAP_RISE_1,T_RISE_EMMA_CASE
sapisu,rfn_emma_cobject,SAP_RISE_1,T_RISE_EMMA_COBJECT
sapisu,rfn_emmac_ctype,SAP_RISE_1,T_RISE_EMMAC_CTYPE
sapisu,rfn_emmac_ctypet,SAP_RISE_1,T_RISE_EMMAC_CTYPET
sapisu,rfn_eprofass,SAP_RISE_1,T_RISE_EPROFASS
sapisu,rfn_eprofhead,SAP_RISE_1,T_RISE_EPROFHEAD
sapisu,rfn_eprofvalmonth,SAP_RISE_1,T_RISE_EPROFVALMONTH
sapisu,rfn_erch,SAP_RISE_1,T_RISE_ERCH
sapisu,rfn_erchc,SAP_RISE_1,T_RISE_ERCHC
sapisu,rfn_erdb,SAP_RISE_1,T_RISE_ERDB
sapisu,rfn_erdk,SAP_RISE_1,T_RISE_ERDK
sapisu,rfn_eservprovt,SAP_RISE_1,T_RISE_ESERVPROVT
sapisu,rfn_etdz,SAP_RISE_1,T_RISE_ETDZ
sapisu,rfn_etta,SAP_RISE_1,T_RISE_ETTA
sapisu,rfn_ettat,SAP_RISE_1,T_RISE_ETTAT
sapisu,rfn_ettifn,SAP_RISE_1,T_RISE_ETTIFN
sapisu,rfn_euigrid,SAP_RISE_1,T_RISE_EUIGRID
sapisu,rfn_euiinstln,SAP_RISE_1,T_RISE_EUIINSTLN
sapisu,rfn_euitrans,SAP_RISE_1,T_RISE_EUITRANS
sapisu,rfn_evbs,SAP_RISE_1,T_RISE_EVBS
sapisu,rfn_ever,SAP_RISE_1,T_RISE_EVER
sapisu,rfn_ezuz,SAP_RISE_1,T_RISE_EZUZ
sapisu,rfn_fkk_instpln_head,SAP_RISE_1,T_RISE_FKK_INSTPLN_HEAD
sapisu,rfn_fkk_instpln_hist,SAP_RISE_1,T_RISE_FKK_INSTPLN_HIST
sapisu,rfn_fkkmako,SAP_RISE_1,T_RISE_FKKMAKO
sapisu,rfn_fkkmaze,SAP_RISE_1,T_RISE_FKKMAZE
sapisu,rfn_fkkvk,SAP_RISE_1,T_RISE_FKKVK
sapisu,rfn_fkkvkp,SAP_RISE_1,T_RISE_FKKVKP
sapisu,rfn_iflot,SAP_RISE_1,T_RISE_IFLOT
sapisu,rfn_iloa,SAP_RISE_1,T_RISE_ILOA
sapisu,rfn_jest,SAP_RISE_1,T_RISE_JEST
sapisu,rfn_knvv,SAP_RISE_1,T_RISE_KNVV
sapisu,rfn_sepa_mandate,SAP_RISE_1,T_RISE_SEPA_MANDATE
sapisu,rfn_tb038b,SAP_RISE_1,T_RISE_TB038B
sapisu,rfn_te069,SAP_RISE_1,T_RISE_TE069
sapisu,rfn_te069t,SAP_RISE_1,T_RISE_TE069T
sapisu,rfn_te227t,SAP_RISE_1,T_RISE_TE227T
sapisu,rfn_te418,SAP_RISE_1,T_RISE_TE418
sapisu,rfn_te422,SAP_RISE_1,T_RISE_TE422
sapisu,rfn_te835,SAP_RISE_1,T_RISE_TE835
sapisu,rfn_te835t,SAP_RISE_1,T_RISE_TE835T
sapisu,rfn_teclerk_idt,SAP_RISE_1,T_RISE_TECLERK_IDT
sapisu,rfn_tfk033d,SAP_RISE_1,T_RISE_TFK033D
sapisu,rfn_tfk047s,SAP_RISE_1,T_RISE_TFK047S
sapisu,rfn_tj02t,SAP_RISE_1,T_RISE_TJ02T
sapisu,rfn_tj30t,SAP_RISE_1,T_RISE_TJ30T
sapisu,rfn_toa01,SAP_RISE_1,T_RISE_TOA01
sapisu,rfn_tvgrt,SAP_RISE_1,T_RISE_TVGRT
sapisu,rfn_tvkbt,SAP_RISE_1,T_RISE_TVKBT
sapisu,rfn_usr01,SAP_RISE_1,T_RISE_USR01
sapisu,rfn_usr21,SAP_RISE_1,T_RISE_USR21
sapisu,rfn_vbak,SAP_RISE_1,T_RISE_VBAK
sapisu,rfn_vbap,SAP_RISE_1,T_RISE_VBAP
sapisu,rfn_vbkd,SAP_RISE_1,T_RISE_VBKD
sapisu,rfn_ztb_coupons_head,SAP_RISE_1,T_RISE_ZTB_COUPONS_HEAD
sapisu,rfn_ztb_coupons_inv,SAP_RISE_1,T_RISE_ZTB_COUPONS_INV
sapisu,rfn_ztb_e_click,SAP_RISE_1,T_RISE_ZTB_E_CLICK
sapisu,rfn_ztb_g_click,SAP_RISE_1,T_RISE_ZTB_G_CLICK
sapisu,rfn_ztb_mc_general,SAP_RISE_1,T_RISE_ZTB_MC_GENERAL
sapisu,rfn_ztb_mc_simul,SAP_RISE_1,T_RISE_ZTB_MC_SIMUL
sapisu,rfn_ztb_promo_codes,SAP_RISE_1,T_RISE_ZTB_PROMO_CODES
sapisu,rfn_ztb_promo_hist,SAP_RISE_1,T_RISE_ZTB_PROMO_HIST
sapisu,rfn_ztd_devices,SAP_RISE_1,T_RISE_ZTD_DEVICES
sapisu,rfn_ztf_contencioso,SAP_RISE_1,T_RISE_ZTF_CONTENCIOSO
sapisu,rfn_ztf_doctos_erc,SAP_RISE_1,T_RISE_ZTF_DOCTOS_ERC
sapisu,rfn_ztf_fat_mig,SAP_RISE_1,T_RISE_ZTF_FAT_MIG
sapisu,rfn_ztf_paytype_hist,SAP_RISE_1,T_RISE_ZTF_PAYTYPE_HIST
sapisu,rfn_ztf_plan_pagto_h,SAP_RISE_1,T_RISE_ZTF_PLAN_PAGTO_H
sapisu,rfn_ztf_plan_pagto_i,SAP_RISE_1,T_RISE_ZTF_PLAN_PAGTO_I
sapisu,rfn_ztf_rec_iva,SAP_RISE_1,T_RISE_ZTF_REC_IVA
sapisu,rfn_ztf_ref_send_sib,SAP_RISE_1,T_RISE_ZTF_REF_SEND_SIB
sapisu,rfn_ztm_acc_addr,SAP_RISE_1,T_RISE_ZTM_ACC_ADDR
sapisu,rfn_ztm_acc_email,SAP_RISE_1,T_RISE_ZTM_ACC_EMAIL
sapisu,rfn_ztm_comctr_acc,SAP_RISE_1,T_RISE_ZTM_COMCTR_ACC
sapisu,rfn_ztm_comctr_head,SAP_RISE_1,T_RISE_ZTM_COMCTR_HEAD
sapisu,rfn_ztm_cont_person,SAP_RISE_1,T_RISE_ZTM_CONT_PERSON
sapisu,rfn_ztm_ctr_campaign,SAP_RISE_1,T_RISE_ZTM_CTR_CAMPAIGN
sapisu,rfn_ztm_ctr_estm,SAP_RISE_1,T_RISE_ZTM_CTR_ESTM
sapisu,rfn_ztm_instln_ivr,SAP_RISE_1,T_RISE_ZTM_INSTLN_IVR
sapisu,rfn_ztm_ratetype_det,SAP_RISE_1,T_RISE_ZTM_RATETYPE_DET
sapisu,rfn_ztm_sn_prio_cust,SAP_RISE_1,T_RISE_ZTM_SN_PRIO_CUST
sapisu,rfn_zts_e_ctr,SAP_RISE_1,T_RISE_ZTS_E_CTR
sapisu,rfn_zts_g_ctr,SAP_RISE_1,T_RISE_ZTS_G_CTR
